evidence_id,axis,status,metric,value,unit,numerator,denominator,source_path,sample_key,detail
E00037,schema,PASS,class_observation,3842,entities,,,D:\datasets\ArchCAD\data\json,,id=18;name=Hole;documented_countable=True;instance_presence_rate=0.9997397188964081
E00038,schema,PASS,class_observation,8656,entities,,,D:\datasets\ArchCAD\data\json,,id=19;name=Glass;documented_countable=False;instance_presence_rate=0.0
E00039,schema,PASS,class_observation,19265,entities,,,D:\datasets\ArchCAD\data\json,,id=20;name=Wall;documented_countable=False;instance_presence_rate=0.0
E00040,schema,PASS,class_observation,10473,entities,,,D:\datasets\ArchCAD\data\json,,id=21;name=Concrete Column;documented_countable=True;instance_presence_rate=0.9962761386422229
E00041,schema,PASS,class_observation,1015,entities,,,D:\datasets\ArchCAD\data\json,,id=22;name=Steel Column;documented_countable=True;instance_presence_rate=1.0
E00042,schema,PASS,class_observation,4342,entities,,,D:\datasets\ArchCAD\data\json,,id=23;name=Concrete Beam;documented_countable=False;instance_presence_rate=0.0
E00043,schema,PASS,class_observation,861,entities,,,D:\datasets\ArchCAD\data\json,,id=24;name=Steel Beam;documented_countable=False;instance_presence_rate=0.0
E00044,schema,PASS,class_observation,2408,entities,,,D:\datasets\ArchCAD\data\json,,id=25;name=Parking Space;documented_countable=True;instance_presence_rate=0.9647009966777409
E00045,schema,PASS,class_observation,936,entities,,,D:\datasets\ArchCAD\data\json,,id=26;name=Foundation;documented_countable=False;instance_presence_rate=0.0
E00046,schema,PASS,class_observation,2158,entities,,,D:\datasets\ArchCAD\data\json,,id=27;name=Pile;documented_countable=True;instance_presence_rate=1.0
E00047,schema,PASS,class_observation,786,entities,,,D:\datasets\ArchCAD\data\json,,id=28;name=Rebar;documented_countable=False;instance_presence_rate=0.0
E00048,schema,PASS,class_observation,1000,entities,,,D:\datasets\ArchCAD\data\json,,id=29;name=Fire Hydrant;documented_countable=True;instance_presence_rate=0.995
E00049,schema,PASS,class_observation,108220,entities,,,D:\datasets\ArchCAD\data\json,,id=100;name=Others;documented_countable=False;instance_presence_rate=0.0
E00050,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\12ff0471-4cec-4543-a6e9-f02f5fcc28b6.png|D:\datasets\ArchCAD\data\svg\12ff0471-4cec-4543-a6e9-f02f5fcc28b6.svg|D:\datasets\ArchCAD\data\point\12ff0471-4cec-4543-a6e9-f02f5fcc28b6.npy|D:\datasets\ArchCAD\data\caption\12ff0471-4cec-4543-a6e9-f02f5fcc28b6.json|D:\datasets\ArchCAD\data\json\12ff0471-4cec-4543-a6e9-f02f5fcc28b6.json,12ff0471-4cec-4543-a6e9-f02f5fcc28b6,"entity_count=735;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.47379310344827585;extent_residual=0.0;errors=none"
E00051,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\28ac3c14-d454-4660-a4fe-74f74f73b5a5.png|D:\datasets\ArchCAD\data\svg\28ac3c14-d454-4660-a4fe-74f74f73b5a5.svg|D:\datasets\ArchCAD\data\point\28ac3c14-d454-4660-a4fe-74f74f73b5a5.npy|D:\datasets\ArchCAD\data\caption\28ac3c14-d454-4660-a4fe-74f74f73b5a5.json|D:\datasets\ArchCAD\data\json\28ac3c14-d454-4660-a4fe-74f74f73b5a5.json,28ac3c14-d454-4660-a4fe-74f74f73b5a5,"entity_count=77;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.4295774647887324;extent_residual=0.0;errors=none"
E00052,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\eab00480-1f0e-4f3a-a670-ae4d633970d8.png|D:\datasets\ArchCAD\data\svg\eab00480-1f0e-4f3a-a670-ae4d633970d8.svg|D:\datasets\ArchCAD\data\point\eab00480-1f0e-4f3a-a670-ae4d633970d8.npy|D:\datasets\ArchCAD\data\caption\eab00480-1f0e-4f3a-a670-ae4d633970d8.json|D:\datasets\ArchCAD\data\json\eab00480-1f0e-4f3a-a670-ae4d633970d8.json,eab00480-1f0e-4f3a-a670-ae4d633970d8,"entity_count=98;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.6581632653061225;extent_residual=0.0;errors=none"
E00053,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\9e1269cd-6e9c-4df2-96e1-885b95e942d6.png|D:\datasets\ArchCAD\data\svg\9e1269cd-6e9c-4df2-96e1-885b95e942d6.svg|D:\datasets\ArchCAD\data\point\9e1269cd-6e9c-4df2-96e1-885b95e942d6.npy|D:\datasets\ArchCAD\data\caption\9e1269cd-6e9c-4df2-96e1-885b95e942d6.json|D:\datasets\ArchCAD\data\json\9e1269cd-6e9c-4df2-96e1-885b95e942d6.json,9e1269cd-6e9c-4df2-96e1-885b95e942d6,"entity_count=174;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.5150602409638554;extent_residual=0.0010822510822510823;errors=none"
E00054,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\76e50266-d7f6-45b5-8d77-eeedce607083.png|D:\datasets\ArchCAD\data\svg\76e50266-d7f6-45b5-8d77-eeedce607083.svg|D:\datasets\ArchCAD\data\point\76e50266-d7f6-45b5-8d77-eeedce607083.npy|D:\datasets\ArchCAD\data\caption\76e50266-d7f6-45b5-8d77-eeedce607083.json|D:\datasets\ArchCAD\data\json\76e50266-d7f6-45b5-8d77-eeedce607083.json,76e50266-d7f6-45b5-8d77-eeedce607083,"entity_count=37;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.7027027027027027;extent_residual=0.0;errors=none"
E00055,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\fea0bef9-3fbb-448d-a245-bb0122b29046.png|D:\datasets\ArchCAD\data\svg\fea0bef9-3fbb-448d-a245-bb0122b29046.svg|D:\datasets\ArchCAD\data\point\fea0bef9-3fbb-448d-a245-bb0122b29046.npy|D:\datasets\ArchCAD\data\caption\fea0bef9-3fbb-448d-a245-bb0122b29046.json|D:\datasets\ArchCAD\data\json\fea0bef9-3fbb-448d-a245-bb0122b29046.json,fea0bef9-3fbb-448d-a245-bb0122b29046,"entity_count=352;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.6485148514851485;extent_residual=0.0;errors=none"
E00056,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\11940f93-bc39-4819-95c0-899603bda11c.png|D:\datasets\ArchCAD\data\svg\11940f93-bc39-4819-95c0-899603bda11c.svg|D:\datasets\ArchCAD\data\point\11940f93-bc39-4819-95c0-899603bda11c.npy|D:\datasets\ArchCAD\data\caption\11940f93-bc39-4819-95c0-899603bda11c.json|D:\datasets\ArchCAD\data\json\11940f93-bc39-4819-95c0-899603bda11c.json,11940f93-bc39-4819-95c0-899603bda11c,"entity_count=265;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.47735849056603774;extent_residual=0.0;errors=none"
E00057,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\9002e4d8-c759-4be0-8f8c-49d8956c7205.png|D:\datasets\ArchCAD\data\svg\9002e4d8-c759-4be0-8f8c-49d8956c7205.svg|D:\datasets\ArchCAD\data\point\9002e4d8-c759-4be0-8f8c-49d8956c7205.npy|D:\datasets\ArchCAD\data\caption\9002e4d8-c759-4be0-8f8c-49d8956c7205.json|D:\datasets\ArchCAD\data\json\9002e4d8-c759-4be0-8f8c-49d8956c7205.json,9002e4d8-c759-4be0-8f8c-49d8956c7205,"entity_count=120;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.5840336134453782;extent_residual=0.0;errors=none"
E00058,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\7bbe55f8-aa5a-4eaa-acfb-1ee9136baf4f.png|D:\datasets\ArchCAD\data\svg\7bbe55f8-aa5a-4eaa-acfb-1ee9136baf4f.svg|D:\datasets\ArchCAD\data\point\7bbe55f8-aa5a-4eaa-acfb-1ee9136baf4f.npy|D:\datasets\ArchCAD\data\caption\7bbe55f8-aa5a-4eaa-acfb-1ee9136baf4f.json|D:\datasets\ArchCAD\data\json\7bbe55f8-aa5a-4eaa-acfb-1ee9136baf4f.json,7bbe55f8-aa5a-4eaa-acfb-1ee9136baf4f,"entity_count=93;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.75;extent_residual=0.0;errors=none"
E00059,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\84512309-f3eb-406d-b9f2-bc08b01d4635.png|D:\datasets\ArchCAD\data\svg\84512309-f3eb-406d-b9f2-bc08b01d4635.svg|D:\datasets\ArchCAD\data\point\84512309-f3eb-406d-b9f2-bc08b01d4635.npy|D:\datasets\ArchCAD\data\caption\84512309-f3eb-406d-b9f2-bc08b01d4635.json|D:\datasets\ArchCAD\data\json\84512309-f3eb-406d-b9f2-bc08b01d4635.json,84512309-f3eb-406d-b9f2-bc08b01d4635,"entity_count=173;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.23109243697478993;extent_residual=0.0;errors=none"
E00060,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\5af4f29c-0e8f-4218-bf37-b23c337d306f.png|D:\datasets\ArchCAD\data\svg\5af4f29c-0e8f-4218-bf37-b23c337d306f.svg|D:\datasets\ArchCAD\data\point\5af4f29c-0e8f-4218-bf37-b23c337d306f.npy|D:\datasets\ArchCAD\data\caption\5af4f29c-0e8f-4218-bf37-b23c337d306f.json|D:\datasets\ArchCAD\data\json\5af4f29c-0e8f-4218-bf37-b23c337d306f.json,5af4f29c-0e8f-4218-bf37-b23c337d306f,"entity_count=141;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.24642857142857144;extent_residual=0.0;errors=none"
E00061,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\04b039b8-3127-41c0-baef-44247aabe770.png|D:\datasets\ArchCAD\data\svg\04b039b8-3127-41c0-baef-44247aabe770.svg|D:\datasets\ArchCAD\data\point\04b039b8-3127-41c0-baef-44247aabe770.npy|D:\datasets\ArchCAD\data\caption\04b039b8-3127-41c0-baef-44247aabe770.json|D:\datasets\ArchCAD\data\json\04b039b8-3127-41c0-baef-44247aabe770.json,04b039b8-3127-41c0-baef-44247aabe770,"entity_count=599;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.4658119658119658;extent_residual=0.05720122574055159;errors=none"
E00062,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\c1858da2-5cb7-4263-9827-4046b1ecc593.png|D:\datasets\ArchCAD\data\svg\c1858da2-5cb7-4263-9827-4046b1ecc593.svg|D:\datasets\ArchCAD\data\point\c1858da2-5cb7-4263-9827-4046b1ecc593.npy|D:\datasets\ArchCAD\data\caption\c1858da2-5cb7-4263-9827-4046b1ecc593.json|D:\datasets\ArchCAD\data\json\c1858da2-5cb7-4263-9827-4046b1ecc593.json,c1858da2-5cb7-4263-9827-4046b1ecc593,"entity_count=599;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.48800738007380073;extent_residual=0.0;errors=none"
E00063,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\181c0e8a-d7a6-4c3c-8243-9dad3bc169a8.png|D:\datasets\ArchCAD\data\svg\181c0e8a-d7a6-4c3c-8243-9dad3bc169a8.svg|D:\datasets\ArchCAD\data\point\181c0e8a-d7a6-4c3c-8243-9dad3bc169a8.npy|D:\datasets\ArchCAD\data\caption\181c0e8a-d7a6-4c3c-8243-9dad3bc169a8.json|D:\datasets\ArchCAD\data\json\181c0e8a-d7a6-4c3c-8243-9dad3bc169a8.json,181c0e8a-d7a6-4c3c-8243-9dad3bc169a8,"entity_count=108;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.5990566037735849;extent_residual=0.0;errors=none"
E00064,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\c2ffd552-0dc6-433b-9289-657d9fe4b1da.png|D:\datasets\ArchCAD\data\svg\c2ffd552-0dc6-433b-9289-657d9fe4b1da.svg|D:\datasets\ArchCAD\data\point\c2ffd552-0dc6-433b-9289-657d9fe4b1da.npy|D:\datasets\ArchCAD\data\caption\c2ffd552-0dc6-433b-9289-657d9fe4b1da.json|D:\datasets\ArchCAD\data\json\c2ffd552-0dc6-433b-9289-657d9fe4b1da.json,c2ffd552-0dc6-433b-9289-657d9fe4b1da,"entity_count=427;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.4987309644670051;extent_residual=0.0;errors=none"
E00065,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\89fddebf-4d19-4c6b-95fe-0fc98f97965a.png|D:\datasets\ArchCAD\data\svg\89fddebf-4d19-4c6b-95fe-0fc98f97965a.svg|D:\datasets\ArchCAD\data\point\89fddebf-4d19-4c6b-95fe-0fc98f97965a.npy|D:\datasets\ArchCAD\data\caption\89fddebf-4d19-4c6b-95fe-0fc98f97965a.json|D:\datasets\ArchCAD\data\json\89fddebf-4d19-4c6b-95fe-0fc98f97965a.json,89fddebf-4d19-4c6b-95fe-0fc98f97965a,"entity_count=85;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.4451219512195122;extent_residual=0.0;errors=none"
E00066,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\222dd7fc-1a74-45dc-b5f5-b16a23d113da.png|D:\datasets\ArchCAD\data\svg\222dd7fc-1a74-45dc-b5f5-b16a23d113da.svg|D:\datasets\ArchCAD\data\point\222dd7fc-1a74-45dc-b5f5-b16a23d113da.npy|D:\datasets\ArchCAD\data\caption\222dd7fc-1a74-45dc-b5f5-b16a23d113da.json|D:\datasets\ArchCAD\data\json\222dd7fc-1a74-45dc-b5f5-b16a23d113da.json,222dd7fc-1a74-45dc-b5f5-b16a23d113da,"entity_count=204;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.5105263157894737;extent_residual=0.0;errors=none"
E00067,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\db8dd8bd-fd77-47a4-aa33-1e10998ebb76.png|D:\datasets\ArchCAD\data\svg\db8dd8bd-fd77-47a4-aa33-1e10998ebb76.svg|D:\datasets\ArchCAD\data\point\db8dd8bd-fd77-47a4-aa33-1e10998ebb76.npy|D:\datasets\ArchCAD\data\caption\db8dd8bd-fd77-47a4-aa33-1e10998ebb76.json|D:\datasets\ArchCAD\data\json\db8dd8bd-fd77-47a4-aa33-1e10998ebb76.json,db8dd8bd-fd77-47a4-aa33-1e10998ebb76,"entity_count=160;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.7435897435897436;extent_residual=0.0;errors=none"
E00068,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\2a7ff78c-2096-4acb-9956-2abca6cf51fd.png|D:\datasets\ArchCAD\data\svg\2a7ff78c-2096-4acb-9956-2abca6cf51fd.svg|D:\datasets\ArchCAD\data\point\2a7ff78c-2096-4acb-9956-2abca6cf51fd.npy|D:\datasets\ArchCAD\data\caption\2a7ff78c-2096-4acb-9956-2abca6cf51fd.json|D:\datasets\ArchCAD\data\json\2a7ff78c-2096-4acb-9956-2abca6cf51fd.json,2a7ff78c-2096-4acb-9956-2abca6cf51fd,"entity_count=611;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.4597457627118644;extent_residual=0.0;errors=none"
E00069,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\f393d9b0-9f87-4e2c-b11c-6abfe3d01191.png|D:\datasets\ArchCAD\data\svg\f393d9b0-9f87-4e2c-b11c-6abfe3d01191.svg|D:\datasets\ArchCAD\data\point\f393d9b0-9f87-4e2c-b11c-6abfe3d01191.npy|D:\datasets\ArchCAD\data\caption\f393d9b0-9f87-4e2c-b11c-6abfe3d01191.json|D:\datasets\ArchCAD\data\json\f393d9b0-9f87-4e2c-b11c-6abfe3d01191.json,f393d9b0-9f87-4e2c-b11c-6abfe3d01191,"entity_count=193;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.5625;extent_residual=0.0;errors=none"
E00070,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\3d8c78e0-a148-445b-a6e4-069941d99e04.png|D:\datasets\ArchCAD\data\svg\3d8c78e0-a148-445b-a6e4-069941d99e04.svg|D:\datasets\ArchCAD\data\point\3d8c78e0-a148-445b-a6e4-069941d99e04.npy|D:\datasets\ArchCAD\data\caption\3d8c78e0-a148-445b-a6e4-069941d99e04.json|D:\datasets\ArchCAD\data\json\3d8c78e0-a148-445b-a6e4-069941d99e04.json,3d8c78e0-a148-445b-a6e4-069941d99e04,"entity_count=591;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.4782608695652174;extent_residual=0.0;errors=none"
E00071,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\8ec4178f-7cf5-409d-bbb0-78aa9d2853b9.png|D:\datasets\ArchCAD\data\svg\8ec4178f-7cf5-409d-bbb0-78aa9d2853b9.svg|D:\datasets\ArchCAD\data\point\8ec4178f-7cf5-409d-bbb0-78aa9d2853b9.npy|D:\datasets\ArchCAD\data\caption\8ec4178f-7cf5-409d-bbb0-78aa9d2853b9.json|D:\datasets\ArchCAD\data\json\8ec4178f-7cf5-409d-bbb0-78aa9d2853b9.json,8ec4178f-7cf5-409d-bbb0-78aa9d2853b9,"entity_count=432;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.6990740740740741;extent_residual=0.0;errors=none"
E00072,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\afb93231-e52e-419d-9a64-79c29c722eef.png|D:\datasets\ArchCAD\data\svg\afb93231-e52e-419d-9a64-79c29c722eef.svg|D:\datasets\ArchCAD\data\point\afb93231-e52e-419d-9a64-79c29c722eef.npy|D:\datasets\ArchCAD\data\caption\afb93231-e52e-419d-9a64-79c29c722eef.json|D:\datasets\ArchCAD\data\json\afb93231-e52e-419d-9a64-79c29c722eef.json,afb93231-e52e-419d-9a64-79c29c722eef,"entity_count=206;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.45098039215686275;extent_residual=0.0;errors=none"
E00073,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\3a52a3dc-94a1-42b5-8184-c2fac41ce726.png|D:\datasets\ArchCAD\data\svg\3a52a3dc-94a1-42b5-8184-c2fac41ce726.svg|D:\datasets\ArchCAD\data\point\3a52a3dc-94a1-42b5-8184-c2fac41ce726.npy|D:\datasets\ArchCAD\data\caption\3a52a3dc-94a1-42b5-8184-c2fac41ce726.json|D:\datasets\ArchCAD\data\json\3a52a3dc-94a1-42b5-8184-c2fac41ce726.json,3a52a3dc-94a1-42b5-8184-c2fac41ce726,"entity_count=69;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.5217391304347826;extent_residual=0.0;errors=none"
E00074,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\71bd2466-e992-4e13-aa96-0929d6bcf8c5.png|D:\datasets\ArchCAD\data\svg\71bd2466-e992-4e13-aa96-0929d6bcf8c5.svg|D:\datasets\ArchCAD\data\point\71bd2466-e992-4e13-aa96-0929d6bcf8c5.npy|D:\datasets\ArchCAD\data\caption\71bd2466-e992-4e13-aa96-0929d6bcf8c5.json|D:\datasets\ArchCAD\data\json\71bd2466-e992-4e13-aa96-0929d6bcf8c5.json,71bd2466-e992-4e13-aa96-0929d6bcf8c5,"entity_count=2344;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.32989690721649484;extent_residual=0.0;errors=none"
E00075,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\34c5f239-504f-4559-99ca-84f03b26d8f1.png|D:\datasets\ArchCAD\data\svg\34c5f239-504f-4559-99ca-84f03b26d8f1.svg|D:\datasets\ArchCAD\data\point\34c5f239-504f-4559-99ca-84f03b26d8f1.npy|D:\datasets\ArchCAD\data\caption\34c5f239-504f-4559-99ca-84f03b26d8f1.json|D:\datasets\ArchCAD\data\json\34c5f239-504f-4559-99ca-84f03b26d8f1.json,34c5f239-504f-4559-99ca-84f03b26d8f1,"entity_count=31;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.7931034482758621;extent_residual=0.0;errors=none"
E00076,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\57184ce4-3858-429b-8dce-2c41a2340a4f.png|D:\datasets\ArchCAD\data\svg\57184ce4-3858-429b-8dce-2c41a2340a4f.svg|D:\datasets\ArchCAD\data\point\57184ce4-3858-429b-8dce-2c41a2340a4f.npy|D:\datasets\ArchCAD\data\caption\57184ce4-3858-429b-8dce-2c41a2340a4f.json|D:\datasets\ArchCAD\data\json\57184ce4-3858-429b-8dce-2c41a2340a4f.json,57184ce4-3858-429b-8dce-2c41a2340a4f,"entity_count=124;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.4032258064516129;extent_residual=0.0;errors=none"
E00077,sample,PASS,sealed_sample_parse_alignment,True,,,,D:\datasets\ArchCAD\data\png\1c6ac3e0-6554-4baa-9cf6-4c66f963ba26.png|D:\datasets\ArchCAD\data\svg\1c6ac3e0-6554-4baa-9cf6-4c66f963ba26.svg|D:\datasets\ArchCAD\data\point\1c6ac3e0-6554-4baa-9cf6-4c66f963ba26.npy|D:\datasets\ArchCAD\data\caption\1c6ac3e0-6554-4baa-9cf6-4c66f963ba26.json|D:\datasets\ArchCAD\data\json\1c6ac3e0-6554-4baa-9cf6-4c66f963ba26.json,1c6ac3e0-6554-4baa-9cf6-4c66f963ba26,"entity_count=896;npy_orientation=columns=[primitive_code,y,x];npy_line_match_rate=0.5753968253968254;extent_residual=0.0;errors=none"
